Date,Hour,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount
5/28/2012,0,12th and Market South,Intersection of 12th & Ma,Monday,2012,2,June,22,2,1,3
5/28/2012,0,Market at 9th South,800 Block of Market,Monday,2012,2,June,22,7,10,17
5/28/2012,0,Chesnut at 12th Nort,1100 Block of Chestnut,Monday,2012,2,June,22,4,5,9
5/28/2012,0,Chesnut at 11th Sout,1100 Block of Chestnut,Monday,2012,2,June,22,3,2,5
5/28/2012,0,Chesnut at 16th Sout,1500 Block of Chestnut,Monday,2012,2,June,22,7,5,12
5/28/2012,0,Chestnut at 16 North,1500 Block of Chestnut,Monday,2012,2,June,22,3,4,7
5/28/2012,0,12th and Market North,Intersection of 12th & Ma,Monday,2012,2,June,22,0,0,0
5/28/2012,0,Walnut South,1700 Block of Walnut,Monday,2012,2,June,22,27,29,56
5/28/2012,0,Walnut North,1700 Block of Walnut,Monday,2012,2,June,22,24,22,46
5/28/2012,0,Chesnut at 17 South,1600 Block of Chestnut,Monday,2012,2,June,22,14,25,39
5/28/2012,0,Chesnut at 17 North,1600 Block of Chestnut,Monday,2012,2,June,22,13,7,20
5/28/2012,0,Walnut and 13 South,1200 Block Walnut,Monday,2012,2,June,22,34,34,68
5/28/2012,0,Walnut at 13 North,1200 Block Walnut,Monday,2012,2,June,22,10,15,25
5/28/2012,0,Market and 8 North,800 Block of Market,Monday,2012,2,June,22,8,8,16
5/28/2012,1,12th and Market South,Intersection of 12th & Ma,Monday,2012,2,June,22,1,0,1
5/28/2012,1,Market at 9th South,800 Block of Market,Monday,2012,2,June,22,5,3,8
5/28/2012,1,Chesnut at 12th Nort,1100 Block of Chestnut,Monday,2012,2,June,22,3,1,4
5/28/2012,1,Chesnut at 11th Sout,1100 Block of Chestnut,Monday,2012,2,June,22,2,1,3
5/28/2012,1,Chesnut at 16th Sout,1500 Block of Chestnut,Monday,2012,2,June,22,6,3,9
5/28/2012,1,Chestnut at 16 North,1500 Block of Chestnut,Monday,2012,2,June,22,3,6,9
5/28/2012,1,12th and Market North,Intersection of 12th & Ma,Monday,2012,2,June,22,0,0,0
5/28/2012,1,Walnut South,1700 Block of Walnut,Monday,2012,2,June,22,13,18,31
5/28/2012,1,Walnut North,1700 Block of Walnut,Monday,2012,2,June,22,17,16,33
5/28/2012,1,Chesnut at 17 South,1600 Block of Chestnut,Monday,2012,2,June,22,5,5,10
5/28/2012,1,Chesnut at 17 North,1600 Block of Chestnut,Monday,2012,2,June,22,9,6,15
5/28/2012,1,Walnut and 13 South,1200 Block Walnut,Monday,2012,2,June,22,25,22,47
5/28/2012,1,Walnut at 13 North,1200 Block Walnut,Monday,2012,2,June,22,6,5,11
5/28/2012,1,Market and 8 North,800 Block of Market,Monday,2012,2,June,22,5,2,7
5/28/2012,2,12th and Market South,Intersection of 12th & Ma,Monday,2012,2,June,22,0,0,0
5/28/2012,2,Market at 9th South,800 Block of Market,Monday,2012,2,June,22,2,0,2
5/28/2012,2,Chesnut at 12th Nort,1100 Block of Chestnut,Monday,2012,2,June,22,3,1,4
5/28/2012,2,Chesnut at 11th Sout,1100 Block of Chestnut,Monday,2012,2,June,22,1,0,1
5/28/2012,2,Chesnut at 16th Sout,1500 Block of Chestnut,Monday,2012,2,June,22,3,2,5
5/28/2012,2,Chestnut at 16 North,1500 Block of Chestnut,Monday,2012,2,June,22,2,1,3
5/28/2012,2,12th and Market North,Intersection of 12th & Ma,Monday,2012,2,June,22,0,0,0
5/28/2012,2,Walnut South,1700 Block of Walnut,Monday,2012,2,June,22,15,9,24
5/28/2012,2,Walnut North,1700 Block of Walnut,Monday,2012,2,June,22,5,4,9
5/28/2012,2,Chesnut at 17 South,1600 Block of Chestnut,Monday,2012,2,June,22,11,9,20
5/28/2012,2,Chesnut at 17 North,1600 Block of Chestnut,Monday,2012,2,June,22,8,5,13
5/28/2012,2,Walnut and 13 South,1200 Block Walnut,Monday,2012,2,June,22,15,11,26
5/28/2012,2,Walnut at 13 North,1200 Block Walnut,Monday,2012,2,June,22,4,4,8
5/28/2012,2,Market and 8 North,800 Block of Market,Monday,2012,2,June,22,3,1,4
5/28/2012,3,12th and Market South,Intersection of 12th & Ma,Monday,2012,2,June,22,0,0,0
5/28/2012,3,Market at 9th South,800 Block of Market,Monday,2012,2,June,22,0,0,0
